"id","feature","fc","pval","qval","gene_name"
"ENSG00000000971","gene",1.28188279637658,0.004985299672417,0.039388971814487,"CFH"
"ENSG00000001617","gene",0.909952207693908,0.002842575036203,0.026615009944634,"SEMA3F"
"ENSG00000001629","gene",1.08217340073529,0.020768087263564,0.100281351638806,"ANKIB1"
"ENSG00000002549","gene",0.82805594632217,0.000467994259667,0.007850773269052,"LAP3"
"ENSG00000002919","gene",0.926411935686514,0.005626802989638,0.042693445596635,"SNX11"
"ENSG00000003436","gene",1.16308756174874,0.017979028512483,0.091549854006683,"TFPI"
"ENSG00000003509","gene",1.26719858479549,0.03452237449492,0.137318379649035,"NDUFAF7"
"ENSG00000003989","gene",1.51716324190453,0.001223583869943,0.01517338875954,"SLC7A2"
"ENSG00000004399","gene",0.909919279779036,0.025898907119777,0.113606764532985,"PLXND1"
"ENSG00000004455","gene",0.879250059462387,0.017077843853317,0.088496745677465,"AK2"
"ENSG00000004478","gene",0.8541585682295,0.004519082210093,0.03713105702348,"FKBP4"
"ENSG00000004534","gene",0.919526535576009,0.001680123056714,0.018926933704592,"RBM6"
"ENSG00000004700","gene",1.21437622794076,1.53095143928805E-05,0.000742230907215,"RECQL"
"ENSG00000004779","gene",1.10379374751731,0.010830228098804,0.065978889601924,"NDUFAB1"
"ENSG00000004897","gene",1.11859953034204,0.002200690207426,0.022344727325401,"CDC27"
"ENSG00000005075","gene",0.886894611870016,0.001333480711204,0.016183527373199,"POLR2J"
"ENSG00000005175","gene",1.20429535657485,0.000344833066072,0.006360864923966,"RPAP3"
"ENSG00000005448","gene",0.881142176251261,0.037141656808615,0.144691519582572,"WDR54"
"ENSG00000005469","gene",1.18465953566048,0.04638641266849,0.166681482852238,"CROT"
"ENSG00000005700","gene",1.24739593948039,3.4092944212194E-06,0.000248583199531,"IBTK"
"ENSG00000005882","gene",0.799321152899527,0.008675144912675,0.056892239299834,"PDK2"
"ENSG00000005889","gene",0.69993287844312,0.027140434829695,0.117329797629773,"ZFX"
"ENSG00000006007","gene",0.911781940008424,0.003496986195299,0.030840087779493,"GDE1"
"ENSG00000006025","gene",1.39682297386912,0.023549644284491,0.107486738681766,"OSBPL7"
"ENSG00000006118","gene",0.715471152202697,0.000775820595891,0.01095136999687,"TMEM132A"
"ENSG00000006712","gene",0.909536073657578,0.003842792579711,0.033070872944356,"PAF1"
"ENSG00000007080","gene",0.86108715799881,3.51474011228703E-07,5.33561998150936E-05,"CCDC124"
"ENSG00000007168","gene",1.06952990150827,0.000163659027387,0.003859815574559,"PAFAH1B1"
"ENSG00000007202","gene",1.06928919112796,0.002617681074029,0.025144944756748,"KIAA0100"
"ENSG00000007545","gene",1.46152233603077,0.014110025117677,0.078995666620125,"CRAMP1"
"ENSG00000008394","gene",1.10107435875823,0.014673408416262,0.080742644056176,"MGST1"
"ENSG00000008710","gene",1.08534456112309,0.046377390167255,0.166681482852238,"PKD1"
"ENSG00000009844","gene",1.11531681489235,0.00627617872379,0.046051834375826,"VTA1"
"ENSG00000010219","gene",1.61171868131967,0.010844586331794,0.066022925333603,"DYRK4"
"ENSG00000010244","gene",0.930228667449787,0.029263184207404,0.122836394270426,"ZNF207"
"ENSG00000010278","gene",0.813462993324467,1.16750423628798E-06,0.000113800939242,"CD9"
"ENSG00000010803","gene",0.720431646115182,0.035261084690151,0.139239933573902,"SCMH1"
"ENSG00000011009","gene",0.814995008810089,0.000197427256829,0.004363189494608,"LYPLA2"
"ENSG00000011105","gene",0.945156415774872,0.033533131708632,0.134248508267155,"TSPAN9"
"ENSG00000011405","gene",1.27987671870679,4.12695399143459E-06,0.000280997014417,"PIK3C2A"
"ENSG00000011426","gene",1.2063092771828,0.01418043051024,0.07920086537355,"ANLN"
"ENSG00000011485","gene",0.911729495448131,0.015080170284791,0.081893834389947,"PPP5C"
"ENSG00000011566","gene",1.16041487150739,0.004440134363503,0.036579754631703,"MAP4K3"
