name,SARS-COV2-GSE120934,SARS-COV2-GSE147507,SARS-GSE56192,MERS-GSE56192,MERS-GSE139516,Type
AACS,0,0,-0.116096744877682,0,0,SARS-GSE56192
AAK1,-0.321878099651917,0,0,0,0,SARS-COV2-GSE120934
AAMP,0.329529949543073,0,-0.252296292546975,0,0,common
AAR2,0,0,-0.086357782039669,0,0.576928440534549,common
AARS1,0,0,0,0,-1.00845754556822,MERS-GSE139516
AARSD1,0,0,-0.739263485221756,0,0,SARS-GSE56192
AASDHPPT,0,0,0.155711350082828,0,0,SARS-GSE56192
AATF,0.187152710946753,0,-0.14959353588084,0,0,common
ABALON,0,0,0.565255843516619,0,0,SARS-GSE56192
ABAT,-0.402386429678009,0,0,0,0,SARS-COV2-GSE120934
ABCA1,0,0,0,0.253383634707845,0,MERS-GSE56192
ABCB10,0.229761075882049,0,0,0,0,SARS-COV2-GSE120934
ABCB6,-0.288235453407034,0,0,0,0,SARS-COV2-GSE120934
ABCB8,0,-0.18472752031659,0,0,0,SARS-COV2-GSE147507
ABCB9,0.332758063542003,0,-0.266074783597586,0,0,common
ABCC3,0,0,0,0,1.06599240511361,MERS-GSE139516
ABCD3,0,0,0.223932822956285,0,0,SARS-GSE56192
ABCD4,0,0,-0.270223089263008,0.261698004631289,0,common
ABCE1,0,0,0.262205435688015,0,0,SARS-GSE56192
ABCF1,0,0,-0.183790946993083,0,0,SARS-GSE56192
ABCF2,0.211792956499079,0,0,0,0,SARS-COV2-GSE120934
ABCF3,0.164199552531289,0,-0.128994677404339,0,0,common
ABCG1,0.197767656284799,0,0,0,0,SARS-COV2-GSE120934
ABHD10,-0.335321577157024,0,0,0,0,SARS-COV2-GSE120934
ABHD11,0,0.486684505460671,0,-0.734970629346765,0,SARS-COV2-GSE147507
ABHD15,0,-0.127053400861308,0,0,0,SARS-COV2-GSE147507
ABHD16A,0,0,-0.207992857871785,0,0,SARS-GSE56192
ABHD17A,0,0,0,-0.154371975985391,0,MERS-GSE56192
ABHD17C,0,0,-0.230162701319213,0.617715461691082,0,common
ABHD2,-0.382059510096077,-0.178312222999066,0,0.374005204804143,0,cov2-common
ABHD4,-0.278414889641144,0,-0.253449659299945,0,0,common
ABHD6,0,0,0,0.505217637088392,0,MERS-GSE56192
ABHD8,0.347076594603966,0,0,0,0,SARS-COV2-GSE120934
ABI2,-0.462770150277877,0,0,0,0,SARS-COV2-GSE120934
ABL1,0.364959410242169,0,-0.102875528803023,0,0.748252779709918,cov2-common
ABR,0,0,-0.129144478784887,0,0,SARS-GSE56192
ABT1,0,0,0,-0.139886257463226,0,MERS-GSE56192
ABTB1,0,0,-0.664586358713036,0,0,SARS-GSE56192
AC000041.1,0,0,0,0.819103141422983,0,MERS-GSE56192
AC002094.2,0,0,0.29349217187999,0,1.32511628409276,common
AC002347.2,0.405578400350611,0,0,-0.362117589154836,0,common
AC002524.1,0,0,0.267207000108505,0,0,SARS-GSE56192
AC002985.1,0,0,-0.68192262803571,-1.35062401290398,0,common
AC004079.1,-1.31209595887816,0,0.681052711917533,0,0,common
AC004079.2,0,0,0.562166453675301,0,0,SARS-GSE56192
AC004079.5,0,0,0.599967688447216,0,0,SARS-GSE56192
AC004264.1,0,0,0,0.497287237401009,0,MERS-GSE56192
AC004477.2,0,0,0.681335965069023,0.149422197419044,0,common
AC004528.2,0,0,0.964785285989506,0,0,SARS-GSE56192
AC004542.1,0,0,0.800628834409065,0,0,SARS-GSE56192
AC004542.2,0,0,0.416283518279314,0,0,SARS-GSE56192
AC004542.4,0,3.17511159012387,0,0,0,SARS-COV2-GSE147507
AC004551.1,0,1.12872876742827,0,0,0,SARS-COV2-GSE147507
AC004556.3,0,0,0,0,-1.14646320635822,MERS-GSE139516
AC004585.1,0.691838547081636,0,0,0,0,SARS-COV2-GSE120934
AC004707.2,0,0,0.668592876210572,0,0,SARS-GSE56192
AC004854.2,0,0,0,0,2.00854635711465,MERS-GSE139516
AC004918.5,-0.631800254600422,0,0,0,0,SARS-COV2-GSE120934
AC004974.1,0,0,0.484045413548532,0,0,SARS-GSE56192
AC005041.5,0,0,-0.683751443275045,0,0,SARS-GSE56192
AC005045.1,0,0,0.744324083726522,0,0,SARS-GSE56192
AC005045.2,0,0,0.541865593434988,0,0,SARS-GSE56192
AC005062.1,0,0,-0.377829599612709,0,0,SARS-GSE56192
AC005082.2,0,0.276768963078598,0,0,0,SARS-COV2-GSE147507
AC005104.1,0,0,0.683120351602374,0,0,SARS-GSE56192
AC005253.2,0.526255362556778,0,0.54014626579065,0,0,common
AC005261.1,-0.506372337621926,0,0,0,0,SARS-COV2-GSE120934
AC005288.1,0,0,0.452827643818878,0,0,SARS-GSE56192
AC005306.1,0,-0.464495899155495,0.396199902390742,0,0,common
AC005324.5,0.462224151072539,0,0,0,0,SARS-COV2-GSE120934
AC005363.1,0,0,0.523691132997125,0,0,SARS-GSE56192
AC005540.1,0,0,0.704107740625874,0,0,SARS-GSE56192
AC005586.1,0,-0.343176493147662,0,0,0,SARS-COV2-GSE147507
AC005606.1,0.493511287635128,0,0.523191682601437,0,0,common
AC005696.2,0,0,0.775946432236508,0,0,SARS-GSE56192
AC005726.2,0,0,0.629866905390173,0,0,SARS-GSE56192
AC005740.3,0,0,0,1.06833425072871,0,MERS-GSE56192
AC005841.1,0.801395734342821,0,0.297132143876845,0,0,common
AC005943.2,0,0,0.739143933563297,0,0.922365593930526,common
AC005944.1,0,0,0.258746456470047,0,0,SARS-GSE56192
AC006001.3,0,0,-0.184199172251327,0,0,SARS-GSE56192
AC006001.4,0,0,0.975883869080868,1.23882461510674,0,common
AC006058.1,0.262589269718371,0,0,0,0,SARS-COV2-GSE120934
AC006064.4,0,0,0.466552877878082,0,0,SARS-GSE56192
AC006116.8,0,0,0.499571917666395,0,0,SARS-GSE56192
AC006369.1,0,0,0.494868548542465,0,0,SARS-GSE56192
AC006441.3,0.659343917916457,0,0.631946880036351,-0.331658585404397,0,common
AC006449.9,0,0,0.525427605113402,0,0,SARS-GSE56192
AC006547.2,0,0,0.594170453904523,0,0,SARS-GSE56192
AC007193.3,0,0,0.608163228833125,0,0,SARS-GSE56192
AC007229.1,0,0,-0.59176180531463,0,0,SARS-GSE56192
AC007283.1,-0.736098145097633,0,0,0,0,SARS-COV2-GSE120934
AC007292.1,0,0,0.383008904993122,0,0,SARS-GSE56192
AC007308.1,0,0,0.416393152632071,0,0,SARS-GSE56192
AC007314.1,0,0,0.266872975039943,0,0,SARS-GSE56192
AC007319.1,0,0,0,0.384189191196019,0,MERS-GSE56192
AC007378.1,0,0,0.996534737866621,0,0,SARS-GSE56192
AC007383.3,0,0,0.351531875906764,0,0,SARS-GSE56192
AC007383.4,0,-2.6073435488237,0,0,0,SARS-COV2-GSE147507
AC007620.2,0,0.318795140538514,0.563728223744253,0,0,common
AC007750.1,0,0,0,0.260673596978764,0,MERS-GSE56192
AC007969.1,-0.806370553610435,0,0,0,-2.99236079908143,cov2-common
AC008026.1,-0.589770633843778,0,0,0,0,SARS-COV2-GSE120934
AC008149.1,0,0,0.453772067138705,0,0,SARS-GSE56192
AC008264.2,0.20171250903932,0,0.580228271065747,0,0,common
AC008522.1,0,0,0,-1.04279495546439,0,MERS-GSE56192
AC008569.1,0,0,0.411872050956248,0,0,SARS-GSE56192
AC008738.7,0,0,0.503537610743077,0,0,SARS-GSE56192
AC008750.8,0,0,0,-1.03512291105706,0,MERS-GSE56192
AC008760.2,1.09561826270435,0,0,0,0,SARS-COV2-GSE120934
AC008761.1,0,0,-0.362810042842601,0,0,SARS-GSE56192
AC008764.3,0,0,0.595616161696251,0,0,SARS-GSE56192
AC008878.1,1.20982870695157,0,0,-1.22116387517856,0,common
AC008878.4,0,0,0.658975293853246,0,0,SARS-GSE56192
AC008894.3,0,0,0.912579154533905,0,0,SARS-GSE56192
AC008914.1,0,0,0.962965412850712,0,0,SARS-GSE56192
AC009019.1,0,0,0.368221380390215,0,0,SARS-GSE56192
AC009065.10,0,0,0,-1.03484305033821,0,MERS-GSE56192
AC009065.8,0,0,0.334870030548554,0,0,SARS-GSE56192
AC009093.8,0,0,-0.223169933902622,0,0,SARS-GSE56192
AC009119.1,0.429486537875901,0,0,-0.162691444239075,0,common
AC009163.5,-1.08430320699549,0,0,0,0,SARS-COV2-GSE120934
AC009511.1,0,0,0.333650742480474,0.467870334338485,0,common
AC009511.2,0,0,0.3585163999844,0,0,SARS-GSE56192
AC009630.2,0,0,0.785962490992448,0,0,SARS-GSE56192
AC009690.2,0,0,-0.567389067776518,0,0,SARS-GSE56192
AC010245.1,0,0,0.573202968602765,0,0,SARS-GSE56192
AC010323.1,1.78267911844813,0,0,0,0,SARS-COV2-GSE120934
AC010327.4,0,0,0,0,-1.71235031858462,MERS-GSE139516
AC010335.1,0,0,0.446731872984856,0,0,SARS-GSE56192
AC010343.1,0,0,-0.3771325341094,0,0,SARS-GSE56192
AC010422.8,0,0,-0.250730629145902,0,0,SARS-GSE56192
AC010542.2,0,0,0.63053891159544,0,0,SARS-GSE56192
AC010618.3,0,0,0.53212908932558,0,0,SARS-GSE56192
AC010642.2,0,0,-0.239441692164303,0,0,SARS-GSE56192
AC010735.1,0,0,0.311204021913256,0,0,SARS-GSE56192
AC010761.1,0,0,0.385601178286522,0,0,SARS-GSE56192
AC010776.2,0,0,0.427642880154601,-0.848161781282613,0,common
AC010834.1,0,0,0.309154224231434,0,0,SARS-GSE56192
AC010883.3,0.376269256940056,0,0,-0.100049362517804,0,common
AC010976.1,0,0,0.562800610221035,0,0,SARS-GSE56192
AC010978.1,0,-0.32446653181335,0.36367111628931,0,0,common
AC011446.3,0,0,0.453643694919,0,0,SARS-GSE56192
