id,feature,fc,pval,qval,gene_name
ENSG00000000971,gene,1.2818827963765802,0.00498529967241668,0.0393889718144867,CFH
ENSG00000001617,gene,0.9099522076939079,0.0028425750362033302,0.0266150099446338,SEMA3F
ENSG00000001629,gene,1.0821734007352901,0.0207680872635636,0.100281351638806,ANKIB1
ENSG00000002549,gene,0.8280559463221701,0.000467994259667037,0.007850773269052109,LAP3
ENSG00000002919,gene,0.926411935686514,0.00562680298963825,0.0426934455966353,SNX11
ENSG00000003436,gene,1.16308756174874,0.0179790285124832,0.091549854006683,TFPI
ENSG00000003509,gene,1.26719858479549,0.0345223744949195,0.137318379649035,NDUFAF7
ENSG00000003989,gene,1.51716324190453,0.00122358386994281,0.0151733887595403,SLC7A2
ENSG00000004399,gene,0.9099192797790359,0.0258989071197766,0.113606764532985,PLXND1
ENSG00000004455,gene,0.8792500594623871,0.017077843853317,0.0884967456774645,AK2
ENSG00000004478,gene,0.8541585682295001,0.004519082210093121,0.0371310570234803,FKBP4
ENSG00000004534,gene,0.919526535576009,0.0016801230567142801,0.0189269337045915,RBM6
ENSG00000004700,gene,1.21437622794076,1.53095143928805e-05,0.000742230907215046,RECQL
ENSG00000004779,gene,1.10379374751731,0.010830228098804,0.0659788896019241,NDUFAB1
ENSG00000004897,gene,1.11859953034204,0.00220069020742608,0.0223447273254008,CDC27
ENSG00000005075,gene,0.8868946118700161,0.0013334807112042,0.0161835273731991,POLR2J
ENSG00000005175,gene,1.20429535657485,0.00034483306607247004,0.006360864923966271,RPAP3
ENSG00000005448,gene,0.8811421762512609,0.0371416568086149,0.14469151958257198,WDR54
ENSG00000005469,gene,1.1846595356604799,0.04638641266849,0.166681482852238,CROT
ENSG00000005700,gene,1.24739593948039,3.4092944212194e-06,0.00024858319953143,IBTK
ENSG00000005882,gene,0.799321152899527,0.00867514491267452,0.0568922392998343,PDK2
ENSG00000005889,gene,0.69993287844312,0.0271404348296947,0.117329797629773,ZFX
ENSG00000006007,gene,0.911781940008424,0.00349698619529892,0.0308400877794934,GDE1
ENSG00000006025,gene,1.3968229738691202,0.0235496442844914,0.107486738681766,OSBPL7
ENSG00000006118,gene,0.715471152202697,0.000775820595890542,0.0109513699968695,TMEM132A
ENSG00000006712,gene,0.9095360736575779,0.0038427925797113204,0.0330708729443558,PAF1
ENSG00000007080,gene,0.8610871579988101,3.51474011228703e-07,5.3356199815093605e-05,CCDC124
ENSG00000007168,gene,1.06952990150827,0.000163659027387464,0.00385981557455895,PAFAH1B1
ENSG00000007202,gene,1.0692891911279598,0.0026176810740286,0.0251449447567477,KIAA0100
ENSG00000007545,gene,1.4615223360307699,0.0141100251176767,0.0789956666201245,CRAMP1
ENSG00000008394,gene,1.10107435875823,0.0146734084162623,0.0807426440561757,MGST1
ENSG00000008710,gene,1.0853445611230899,0.0463773901672548,0.166681482852238,PKD1
ENSG00000009844,gene,1.1153168148923502,0.00627617872378972,0.0460518343758263,VTA1
ENSG00000010219,gene,1.6117186813196698,0.0108445863317937,0.066022925333603,DYRK4
ENSG00000010244,gene,0.9302286674497869,0.0292631842074038,0.122836394270426,ZNF207
ENSG00000010278,gene,0.8134629933244671,1.1675042362879801e-06,0.00011380093924238602,CD9
ENSG00000010803,gene,0.7204316461151821,0.0352610846901513,0.13923993357390196,SCMH1
ENSG00000011009,gene,0.8149950088100891,0.000197427256829474,0.00436318949460843,LYPLA2
ENSG00000011105,gene,0.945156415774872,0.0335331317086316,0.13424850826715498,TSPAN9
ENSG00000011405,gene,1.27987671870679,4.12695399143459e-06,0.000280997014416796,PIK3C2A
ENSG00000011426,gene,1.2063092771828001,0.0141804305102404,0.0792008653735502,ANLN
ENSG00000011485,gene,0.911729495448131,0.0150801702847905,0.0818938343899473,PPP5C
ENSG00000011566,gene,1.1604148715073899,0.00444013436350266,0.0365797546317034,MAP4K3
ENSG00000012061,gene,0.9327426430024419,0.00407410567076316,0.0344531675901981,ERCC1
ENSG00000012983,gene,1.12493208059833,0.0258242019409683,0.113450260542525,MAP4K5
ENSG00000013275,gene,0.9071073824991891,0.00329887516605232,0.029500085796910998,PSMC4
ENSG00000013293,gene,1.26483325197573,0.0066760665819123296,0.0480718324638477,SLC7A14
ENSG00000013306,gene,0.849843316680913,0.000308125623776023,0.00593349563902729,SLC25A39
ENSG00000013375,gene,1.08158478838221,0.0152073856166075,0.08230297534178,PGM3
ENSG00000013561,gene,1.1002634147853,0.0201083675500791,0.0985043815817336,RNF14
ENSG00000013588,gene,1.23039402469142,0.00125255792626033,0.0154237851026206,GPRC5A
ENSG00000013619,gene,1.1467460326705,0.007155411519732979,0.0502621370676419,MAMLD1
ENSG00000014123,gene,1.31328502215127,3.5303471590530896e-07,5.3356199815093605e-05,UFL1
ENSG00000017797,gene,1.04298340541359,0.028648064453677003,0.121410103817414,RALBP1
ENSG00000019991,gene,1.35999934892607,0.000637582140249893,0.00961565247347558,HGF
ENSG00000020426,gene,1.12893316133565,0.0005767127038845969,0.00903614151941009,MNAT1
ENSG00000023191,gene,0.8942761141041831,0.0029121244970487,0.0270474150879347,RNH1
ENSG00000023228,gene,1.46959486657492,0.0481927943870688,0.17081195627166,NDUFS1
ENSG00000023287,gene,1.18371444695529,0.00850458265365028,0.0562517395520012,RB1CC1
ENSG00000023330,gene,0.884974431399415,0.0147011776914958,0.0807781193145714,ALAS1
ENSG00000023516,gene,1.24190860376729,3.1823239339257e-06,0.00023574655702521602,AKAP11
ENSG00000023608,gene,1.12463645901909,0.0036695030015238,0.0320260111160324,SNAPC1
