id,feature,fc,pval,qval,gene_name,de
ENSG00000123384,gene,1.15218808972415,1.59650070941098e-13,1.77610703921971e-09,LRP1,0.204376249733535
ENSG00000104321,gene,1.34404062590843,9.9031893796564e-13,5.50864909243387e-09,TRPA1,0.426576746681266
ENSG00000281181,gene,0.726727792794724,1.95998772767325e-12,7.26828782345497e-09,FP236383.5,-0.460513013444222
ENSG00000240342,gene,0.878550480141147,4.70246064310231e-12,1.30787186636283e-08,RPS2P5,-0.186802911263865
ENSG00000049323,gene,1.17512669179084,1.13498210829732e-10,2.48805052949219e-07,LTBP1,0.232816303824558
ENSG00000125772,gene,1.4331408160604,1.34186994849017e-10,2.48805052949219e-07,GPCPD1,0.519180371394204
ENSG00000075213,gene,1.23446859337417,2.55126475501299e-10,4.05468862850279e-07,SEMA3A,0.303890132746623
ENSG00000052802,gene,1.22379637818454,3.3910256824754e-09,4.71564508969236e-06,MSMO1,0.291363534647351
ENSG00000147123,gene,0.809510701347245,1.9095720893425e-08,2.36044327710393e-05,NDUFB11,-0.304877942489782
ENSG00000106153,gene,0.856825379082679,2.53775698233483e-08,2.82325464284749e-05,CHCHD2,-0.222926881682408
ENSG00000047410,gene,1.21663065361165,4.55967048562655e-08,4.61148492296322e-05,TPR,0.282891259196292
ENSG00000188229,gene,0.8808394446595,6.65179542558292e-08,5.8904689094937e-05,TUBB4B,-0.183049019558571
ENSG00000166033,gene,1.0879187091094,7.51556221700866e-08,5.8904689094937e-05,HTRA1,0.12157076031415
ENSG00000113361,gene,1.31019911499552,7.90632801450641e-08,5.8904689094937e-05,CDH6,0.389786079234052
ENSG00000115414,gene,1.13745922566724,7.94220527122746e-08,5.8904689094937e-05,FN1,0.185814830162321
ENSG00000187498,gene,1.14623318877118,1.37812818268301e-07,9.40218301376903e-05,COL4A1,0.19690057468899
ENSG00000116016,gene,1.24673853197976,1.43673807850853e-07,9.40218301376903e-05,EPAS1,0.318158932554241
ENSG00000251143,gene,1.20524298679261,2.09357134406396e-07,0.000129394340015064,AP002490.1,0.269324034837698
ENSG00000142627,gene,0.843637658919785,2.4753010130496e-07,0.000144935388264089,EPHA2,-0.245304598233493
ENSG00000134508,gene,1.38096232849356,4.2080970086289e-07,0.000234075396104982,CABLES1,0.465673964609135
ENSG00000113739,gene,1.08976529974494,8.33820132051244e-07,0.00044172614138429,STC2,0.124017458531286
ENSG00000113719,gene,1.12856648827438,1.03210476365412e-06,0.00052191661343873,ERGIC1,0.174491415851942
ENSG00000276023,gene,0.775042528870298,1.3969306745798e-06,0.00067568929368262,DUSP14,-0.36765261739488
ENSG00000135940,gene,0.701304189501825,1.58752573731213e-06,0.000735884326149896,COX5B,-0.511887748374424
ENSG00000134871,gene,1.18762336358219,1.75368652843844e-06,0.000780390505155104,COL4A2,0.248077380209368
ENSG00000177311,gene,4.69383094069428,2.07951828667952e-06,0.000888852380314808,ZBTB38,2.23076588075877
ENSG00000163359,gene,1.18073856046404,2.15721476570785e-06,0.000888852380314808,COL6A3,0.239689558065871
ENSG00000145632,gene,1.16950577827846,2.69916469197717e-06,0.00107243597136593,PLK2,0.225898989756248
ENSG00000197102,gene,1.12541368622779,3.97619538605731e-06,0.00148480165078161,DYNC1H1,0.170455413321415
ENSG00000210151,gene,0.908179120318221,4.0039595077257e-06,0.00148480165078161,MT-TS1,-0.138951226325545
ENSG00000198695,gene,0.903507632588115,5.06035607261701e-06,0.00181601488089885,MT-ND6,-0.146391306248499
